conn_count_uid_in	conn_count_uid_out	dns_count_uid_out	http_count_uid_in	ssl_count_uid_in
11743	2003	579	667	318
12776	2018	410	791	311
13526	2209	745	1053	259
11794	2339	925	1258	283
10459	2157	485	581	233
10117	2148	539	793	246
10783	1852	573	553	329
12077	1893	298	2443	336
12057	2292	546	1589	299
11913	2556	1170	654	364
10493	1921	247	734	225
11180	2017	385	869	350
14143	1784	402	1275	333
19961	3125	386	8121	273
16711	1922	273	4343	253
13127	2186	646	750	339
10113	1421	235	578	246
10160	1813	221	644	255
10391	1938	323	682	340
11119	1894	609	1813	293
11719	1936	432	2301	357
9595	2435	905	619	350
10059	1941	386	1646	246
9190	1454	315	746	249
9440	1704	136	584	313
9110	1713	210	1185	289
10469	1389	163	871	242
8678	1998	748	837	314
8879	1806	333	1453	212
9681	1805	256	2933	220
12397	1304	209	3842	318
24206	2248	889	3216	279
24489	2286	891	3096	247
23948	2467	1401	506	323
16016	1550	238	692	267
9411	1646	110	517	239
11120	1830	113	537	337
8872	1241	113	509	306
9268	1612	110	580	257
9516	2003	568	518	328
8949	1543	329	458	207
10837	1768	220	497	241
9758	1595	75	639	639
11221	1289	157	2551	333
9839	1603	98	1456	295
8957	2320	544	604	347
8905	1699	296	758	207
9451	1604	339	544	271
11752	1682	172	839	322
17250	3291	410	7790	283
15626	1562	195	4406	248
10083	2392	914	622	392
10178	1701	132	525	266
9403	1269	129	505	243
9790	1831	288	526	323
10274	1688	105	1742	271
10637	1491	121	2022	317
9607	1814	543	586	388
8592	1607	163	515	228
9494	1406	169	479	366
9555	1389	114	472	332
11157	1728	131	1133	356
10464	1756	134	849	315
10084	1687	418	554	274
9862	1799	166	626	221
14484	1843	218	602	348
23067	1949	719	749	326
24348	2142	792	809	289
20022	2203	781	731	248
13355	2350	878	548	244
9974	1840	300	645	231
10003	1366	229	645	353
10885	1660	70	683	321
10384	1724	151	619	297
21624	2985	1430	576	291
18607	2368	1245	570	252
12971	1882	258	654	222
